"name","type","location","id","average_score","date_score","friend_score","family_score"
심야식당세이지 연신내본점,이자카야,서울 은평구 연서로27길 13-6 심야식당세이지,87,7.531914893617022,7.93,7.086206896551724,8.5
엄마밥상,"백반,가정식",경북 칠곡군 동명면 팔공산로 157,88,5.835869565217391,5.496666666666667,5.695652173913044,6.25
안동집 손칼국시,"칼국수,만두",서울 동대문구 고산자로36길 3 신관 지하1층,89,6.360919540229885,6.666666666666667,6.533333333333333,6.875
피델리오,양식,서울 마포구 월드컵로19길 31-1 3층,90,7.181818181818182,,4.5,
미미옥 신용산점,한식,서울 용산구 한강대로15길 27,91,7.729670329670331,7.115384615384615,8.27878787878788,8.577777777777778
언니네시골집 게스트하우스,게스트하우스,제주 제주시 한경면 용수3길 38 언니네시골집 게스트하우스,92,0.0,,,
대엽,한식,서울 성동구 왕십리로2길 36 1층 3호,93,7.217948717948718,8.055555555555555,7.75,
휘뚜루,이자카야,서울 성동구 왕십리로2길 38 1층,94,7.036082474226804,6.841463414634147,7.364864864864865,8.5
넛츠비어 성수본점,"맥주,호프",서울 성동구 뚝섬로 356 1층,95,7.346938775510204,7.826923076923077,7.491525423728813,
고씨네고추장찌개,포장마차,서울 중구 수표로 26 1층,96,6.252747252747253,6.880952380952381,6.011363636363637,8.5
소금집델리 망원,양식,서울 마포구 월드컵로19길 14 2층,97,6.894382022471909,6.852941176470588,7.333333333333333,6.375
소금집델리 안국,샌드위치,서울 종로구 북촌로4길 19 1층,98,5.872448979591836,6.78125,5.0,
조광101,중식당,서울 송파구 새말로10길 8,99,8.301282051282051,7.409090909090909,8.5,5.5
참치논데,이자카야,서울 광진구 능동로37길 35 2층,100,7.833333333333333,8.0,,
스낵바 논데,이자카야,서울 성동구 왕십리로 58 1층 108호,101,6.805405405405406,8.125,6.625,
논데,일식당,서울 종로구 종로18길 37 하이뷰디아트 2층,102,7.4340206185567,7.686956521739131,7.083333333333333,9.333333333333334
마늘집,닭볶음탕,서울 마포구 양화로3길 15 2층 201호,103,7.828571428571428,6.75,8.619047619047619,2.5
나카지마 고에몽,"초밥,롤",서울 영등포구 국회대로54길 10 아크로타워스퀘어 상가동 지하1층 39호,104,7.953125,7.916666666666667,8.9,8.166666666666666
가야가야,일본식라면,서울 서대문구 이화여대5길 7-3,105,6.385135135135135,8.75,7.5,
오늘의초밥,"초밥,롤",경기 수원시 영통구 센트럴파크로127번길 18 1층 오늘의초밥,106,7.336842105263158,7.851351351351352,8.055555555555555,7.214285714285714
윰드,브런치카페,서울 강남구 도산대로58길 18 1층,107,7.51530612244898,7.411538461538461,7.616216216216216,7.916666666666667
이야이야앤프렌즈,브런치카페,서울 강남구 도산대로51길 22 1-4층,108,7.311224489795919,7.904761904761905,7.548780487804878,8.5
미트컬쳐,양식,강원 강릉시 경강로 2629 1층,109,8.095,8.26595744680851,8.229166666666666,7.678571428571429
로기,양식,서울 용산구 한남대로27가길 32 201호 로기,110,8.196,8.142857142857142,8.25,8.0
아타리,"일식튀김,꼬치",서울 성동구 성덕정19길 13 1층,111,7.373684210526315,7.714285714285714,7.590909090909091,
나우 남영,양식,서울 용산구 원효로89길 23 2층,112,8.391752577319588,8.090909090909092,8.119047619047619,5.0
넘은 봄,한식,제주 제주시 구좌읍 김녕로1길 75-1 1층 넘은봄,113,8.277173913043478,7.928571428571429,7.8,8.5
사브서울,와인,서울 강남구 논현로175길 6 B1,114,7.005263157894737,8.166666666666666,7.625,
남영탉,"치킨,닭강정",서울 용산구 한강대로80길 12 1층,115,6.736559139784946,6.887096774193548,6.715909090909091,7.5
마마리마켓,한식,서울 성동구 연무장18길 16 1층 마마리마켓,116,7.545454545454546,8.25,8.5,8.5
팔발라 삼청본점,프랑스음식,서울 종로구 삼청로 61,117,7.0,7.019230769230769,7.204545454545454,6.458333333333333
야키토리묵 신사점,일식당,서울 강남구 강남대로152길 23 지하 1층 야키토리묵 신사,118,7.090425531914893,7.642857142857143,7.222222222222222,
도시곳간 본점,반찬가게,서울 광진구 능동로 18 지하1층 도시곳간,119,6.333333333333333,,,
